pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
GJ 3942 b,6.90500000,,,,,,,0.63,0.61,3867.00,0,242.263092,52.943874
Kepler-68 c,9.60504000,7.20000,,,1.000,0.020,-0.020,1.08,1.24,5793.00,0,291.032305,49.040272
HD 219134 f,22.71700000,7.30000,0.40000,-0.40000,1.310,0.020,-0.020,0.81,0.78,4699.00,0,348.320740,57.168354
Kepler-100 b,6.88705000,7.34000,3.20000,-3.20000,1.320,0.040,-0.040,1.08,1.49,5825.00,0,291.385979,41.990273
Kepler-11 d,22.68450000,7.30000,0.80000,-1.50000,3.120,0.060,-0.070,0.96,1.06,5663.00,1,297.115123,41.909138
Kepler-289 b,34.54500000,7.30000,6.80000,-6.80000,2.150,0.100,-0.100,1.08,1.00,5990.00,1,297.465344,42.882850
K2-141 c,7.74850000,7.40000,,,7.000,4.600,-2.800,0.71,0.68,4599.00,0,350.916534,-1.189274
Kepler-223 b,7.38449000,7.40000,1.30000,-1.10000,2.990,0.180,-0.270,1.12,1.72,,1,298.318356,47.279495
Kepler-307 b,10.42080000,7.44000,0.91000,-0.87000,2.430,0.090,-0.090,0.91,0.81,5367.00,1,297.795132,40.417703
K2-18 c,8.96200000,,,,,,,0.36,0.41,3457.00,0,172.560455,7.588391
GJ 3293 d,48.13450000,,,,,,,0.42,0.40,3466.00,0,67.148820,-25.169301
HD 181433 b,9.37430000,,,,,,,0.78,,4962.00,0,291.289856,-66.468796
Kepler-177 c,49.41200000,7.50000,3.50000,-3.10000,7.100,3.710,-0.720,1.07,1.07,5942.00,1,286.047132,45.053207
Kepler-51 d,130.19400000,7.60000,1.10000,-1.10000,9.700,0.500,-0.500,1.04,0.94,6018.00,1,296.479776,49.937683
Wolf 1061 d,217.21000000,,,,,,,0.29,0.31,3342.00,0,247.575241,-12.662594
HD 7924 c,15.29900000,,,,,,,0.83,0.78,5075.00,0,20.496313,76.710281
HD 97658 b,9.49090000,7.86000,0.73000,-0.73000,2.341,0.170,-0.150,0.75,0.70,5119.00,0,168.638184,25.710384
Kepler-11 e,31.99960000,8.00000,1.50000,-2.10000,4.190,0.070,-0.090,0.96,1.06,5663.00,1,297.115123,41.909138
