pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag
K2-10 b,19.30440000,27.00000,17.00000,-16.00000,3.840,0.350,-0.340,0.92,0.98,5620.00,0
HD 179079 b,14.47600000,,,,,,,1.15,1.60,5684.00,0
CoRoT-24 c,11.75900000,28.00000,11.00000,-11.00000,5.000,0.500,-0.500,0.91,0.86,4950.00,0
Kepler-328 b,34.92100000,28.50000,12.90000,-12.30000,2.300,0.960,-0.230,1.15,1.06,5914.00,1
GJ 163 d,603.95116000,,,,,,,0.40,,3500.00,0
Kepler-414 c,7.17100000,29.90000,12.40000,-10.50000,3.010,0.540,-0.250,0.89,0.95,,1
Kepler-117 b,18.79592280,29.87500,10.48800,-10.48800,8.059,0.269,-0.269,1.13,1.61,6150.00,0
K2-105 b,8.26690200,30.00000,19.00000,-19.00000,3.590,0.440,-0.390,1.01,0.95,5434.00,0
MOA 2011-BLG-028L b,,30.00000,16.00000,-12.00000,,,,0.75,,,0
Kepler-128 b,15.09000000,30.70000,6.00000,-6.00000,1.130,0.030,-0.030,1.18,1.66,6090.00,1
K2-27 b,6.77131500,30.90000,4.60000,-4.60000,4.480,0.230,-0.230,0.87,0.89,5248.00,0
HD 103197 b,47.84000000,,,,,,,0.90,,5303.00,0
K2-98 b,10.13675000,32.20000,8.10000,-8.10000,4.300,0.300,-0.200,1.07,1.31,6120.00,0
Kepler-128 c,22.80400000,33.30000,3.30000,-3.30000,1.130,0.030,-0.030,1.18,1.66,6090.00,1
HD 49674 b,4.94737000,,,,,,,1.06,,5662.00,0
Kepler-62 f,267.29100000,35.00000,,,1.410,0.070,-0.070,0.69,0.64,4925.00,0
KOI-94 e,54.32031000,35.00000,18.00000,-28.00000,6.560,0.620,-0.620,1.28,1.52,6182.00,1
OGLE-2012-BLG-0950L b,,35.00000,17.00000,-9.00000,,,,0.56,,,0
Kepler-22 b,289.86230000,36.00000,,,2.380,0.130,-0.130,0.97,0.98,5518.00,0
Kepler-122 f,56.26800000,36.00000,19.40000,-16.20000,1.750,0.600,-0.160,0.99,1.22,6050.00,1
Kepler-62 e,122.38740000,36.00000,,,1.610,0.050,-0.050,0.69,0.64,4925.00,0
